table_name,field_name,field_type,required,description
source_manifest.csv,source_id,string,Y,唯一来源编号
source_manifest.csv,city,string,Y,城市名称，ALL 表示跨城市来源
source_manifest.csv,source_type,string,Y,来源类别，如 census7、registry_platform
source_manifest.csv,source_name,string,Y,来源中文名称
source_manifest.csv,official_or_platform,string,Y,official、platform 或 official-linked platform
source_manifest.csv,url_or_page_name,string,Y,可访问 URL 或人工页面名称
source_manifest.csv,target_table,string,Y,目标落表名称
source_manifest.csv,target_fields,string,N,预计抽取字段
source_manifest.csv,access_method,string,Y,html_parse、html_parse_ssr、manual_app_capture 等访问方式
source_manifest.csv,page_role,string,N,页面角色，如 citywide_entry、organ_search
source_manifest.csv,source_status,string,N,来源状态，如 confirmed_direct、manual_required
source_manifest.csv,parent_source_id,string,N,父级来源编号
source_manifest.csv,record_granularity,string,N,记录粒度，如 city、district、institution
source_manifest.csv,priority,string,N,采集优先级，数字越小越优先
source_manifest.csv,update_date,string,N,来源页面发布日期或更新时间
source_manifest.csv,last_verified_date,string,N,最近一次人工或自动核验日期
source_manifest.csv,notes,string,N,补充说明
manual_capture_template.csv,manual_id,string,Y,人工补录任务编号
manual_capture_template.csv,task_batch,string,N,任务批次
manual_capture_template.csv,capture_status,string,Y,证据采集状态，如 TODO、URL_RECORDED、HAR_EXPORTED
manual_capture_template.csv,city,string,Y,城市名称
manual_capture_template.csv,district,string,N,区县名称
manual_capture_template.csv,source_id,string,Y,来源编号
manual_capture_template.csv,page_role,string,N,页面角色
manual_capture_template.csv,parent_source_id,string,N,父级来源编号
manual_capture_template.csv,source_page,string,Y,需要人工查看的页面或入口描述
manual_capture_template.csv,evidence_type,string,N,证据类型，如 html_snapshot、har、attachment、screenshot、legacy_manual_row
manual_capture_template.csv,evidence_title,string,N,证据页标题或任务标题
manual_capture_template.csv,evidence_url_final,string,N,最终核定后的证据 URL
manual_capture_template.csv,evidence_file_path,string,N,本地证据文件路径
manual_capture_template.csv,evidence_file_sha1,string,N,证据文件 SHA1
manual_capture_template.csv,capture_mode,string,N,采集方式，如 browser_export、direct_download、manual_note
manual_capture_template.csv,access_channel,string,N,访问渠道，如 official_site、app_webview、wechat_h5
manual_capture_template.csv,public_access_confirmed,string,N,是否确认公开可访问
manual_capture_template.csv,captured_at,string,N,证据采集时间
manual_capture_template.csv,institution_name_raw,string,N,机构原始名称
manual_capture_template.csv,address_raw,string,N,机构原始地址
manual_capture_template.csv,phone_raw,string,N,公开电话
manual_capture_template.csv,operator_name_raw,string,N,举办方或运营方原始名称
manual_capture_template.csv,capacity_raw,string,N,公开托位
manual_capture_template.csv,registry_status_raw,string,N,备案状态原始字段
manual_capture_template.csv,inclusive_flag_raw,string,N,原始普惠标记
manual_capture_template.csv,demo_flag_raw,string,N,原始示范标记
manual_capture_template.csv,capture_person,string,N,录入人
manual_capture_template.csv,import_status,string,N,导入状态，如 PENDING、IMPORTED、NORMALIZED、PARSED、FAILED
manual_capture_template.csv,parser_hint,string,N,解析提示，如 attachment_docx_table、har_json_list
manual_capture_template.csv,derived_source_id,string,N,导入后生成的派生来源编号
manual_capture_template.csv,screenshot_path,string,N,证据截图路径
manual_capture_template.csv,remark,string,N,补充备注
fetch_log.csv,fetch_time,datetime,Y,抓取时间
fetch_log.csv,stage,string,Y,抓取阶段
fetch_log.csv,source_id,string,Y,来源编号
fetch_log.csv,city,string,Y,城市名称
fetch_log.csv,target_table,string,Y,目标表
fetch_log.csv,source_url,string,Y,请求 URL
fetch_log.csv,http_status,string,N,HTTP 状态码
fetch_log.csv,fetch_mode,string,Y,normal_tls 或 insecure_tls_retry
fetch_log.csv,blocker_flag,string,Y,是否命中 blocker
fetch_log.csv,local_path,string,N,落盘路径
fetch_log.csv,content_type,string,N,响应类型
fetch_log.csv,note,string,N,补充说明
registry_probe_results.csv,probe_time,datetime,Y,probe 运行时间
registry_probe_results.csv,city,string,Y,城市名称
registry_probe_results.csv,parent_source_id,string,N,父来源编号
registry_probe_results.csv,source_id,string,N,生成或命中的来源编号
registry_probe_results.csv,district,string,N,区县名称
registry_probe_results.csv,page_role,string,N,页面角色
registry_probe_results.csv,probe_stage,string,Y,probe 阶段，如 search、verify、seed
registry_probe_results.csv,query_text,string,N,用于探测的查询文本
registry_probe_results.csv,candidate_url,string,N,候选 URL
registry_probe_results.csv,candidate_title,string,N,候选标题
registry_probe_results.csv,status,string,Y,状态，如 found、blocked、seeded
registry_probe_results.csv,decision,string,N,最终决策
registry_probe_results.csv,note,string,N,补充说明
manual_review_list.csv,review_id,string,Y,人工复核编号
manual_review_list.csv,review_type,string,Y,问题类别
manual_review_list.csv,ref_table,string,Y,关联表名
manual_review_list.csv,ref_id,string,Y,关联记录 ID
manual_review_list.csv,city,string,N,城市名称
manual_review_list.csv,district,string,N,区县名称
manual_review_list.csv,issue_summary,string,Y,问题概述
manual_review_list.csv,issue_detail,string,N,问题详情
manual_review_list.csv,source_id,string,N,来源编号
manual_review_list.csv,manual_action,string,Y,建议人工动作
manual_review_list.csv,status,string,Y,初始状态
population_city_district.csv,pop_record_id,string,Y,人口记录唯一 ID
population_city_district.csv,city,string,Y,城市名称
population_city_district.csv,district,string,N,区县名称，市级总量为空
population_city_district.csv,stat_year,int,Y,统计年份
population_city_district.csv,source_id,string,Y,来源编号
population_city_district.csv,source_url,string,Y,原始来源 URL
population_city_district.csv,indicator_name,string,Y,指标名，如 resident_population
population_city_district.csv,indicator_value,string,Y,指标值，保留原始数值表达
population_city_district.csv,indicator_unit,string,N,单位，如 person、percent
population_city_district.csv,population_scope,string,N,人口口径，如 resident
population_city_district.csv,age_group,string,N,年龄分组
population_city_district.csv,sex_group,string,N,性别分组
population_city_district.csv,urban_rural,string,N,城乡分组
population_city_district.csv,note_raw,string,N,原始表头或补充说明
population_city_district.csv,extract_method,string,Y,抽取方式
population_city_district.csv,manual_check_flag,string,Y,是否需要人工复核
nursery_registry_raw.csv,raw_row_id,string,Y,原始机构记录 ID
nursery_registry_raw.csv,city,string,Y,城市名称
nursery_registry_raw.csv,district,string,N,区县名称
nursery_registry_raw.csv,registry_batch_name,string,N,批次名称
nursery_registry_raw.csv,source_id,string,Y,来源编号
nursery_registry_raw.csv,source_url,string,Y,原始来源 URL
nursery_registry_raw.csv,source_publish_date,string,N,来源发布日期
nursery_registry_raw.csv,institution_name_raw,string,N,机构原始名称
nursery_registry_raw.csv,address_raw,string,N,机构原始地址
nursery_registry_raw.csv,operator_name_raw,string,N,举办方或运营方原始名称
nursery_registry_raw.csv,institution_type_raw,string,N,机构类型原始字段
nursery_registry_raw.csv,registry_status_raw,string,N,备案状态原始字段
