source_id,city,source_type,source_name,official_or_platform,url_or_page_name,target_table,target_fields,access_method,page_role,source_status,parent_source_id,record_granularity,priority,update_date,last_verified_date,notes
AMAP_DIRECTION_DOC,ALL,api_doc,高德路径规划文档,platform,https://lbs.amap.com/api/webservice/guide/api/direction,docs_only,walking/driving/transit api notes,api_doc,api_reference,support_only,,api_doc,9,NA,2026-04-18,第一阶段只登记说明不跑矩阵
AMAP_DISTRICT_DOC,ALL,api_doc,高德行政区域查询文档,platform,https://lbs.amap.com/api/webservice/guide/api/district,docs_only,adcode;district hierarchy,api_doc,api_reference,support_only,,api_doc,9,NA,2026-04-18,用于分区和 POI 分批抓取
AMAP_GEOCODE_DOC,ALL,api_doc,高德地理/逆地理编码文档,platform,https://lbs.amap.com/api/webservice/guide/api/georegeo,geo_result,formatted_address;location;adcode;level,api_doc,api_reference,support_only,,api_doc,9,2026-02-02,2026-04-18,第一阶段地理编码主接口
AMAP_POI_DOC,ALL,api_doc,高德搜索POI文档,platform,https://lbs.amap.com/api/webservice/guide/api-advanced/search,poi_residential|poi_support,poi id;name;type;typecode;address;location,api_doc,api_reference,support_only,,api_doc,9,2026-03-31,2026-04-18,住宅与支持性 POI 主接口
INST_TEXT_OFFICIAL,ALL,text_source,机构官方公开介绍页,official,机构官网/官微/H5公开页,text_raw|text_tag_suggest,page_title;body_text;public_phone_if_any;public_price_if_any,whitelist_crawl_or_manual,institution_public_text,manual_required,,institution,5,NA,2026-04-18,仅抓公开稳定页面;需白名单控制
NJ_REG_APP_MYNJ,南京,registry_platform,我的南京托育服务备案机构页,official-linked platform,我的南京 App > 托育服务 > 备案机构,nursery_registry_raw,institution name;address;phone,manual_app_capture,app_registry,manual_required,NJ_REG_ENTRY_2023,institution,1,,2026-04-18,无稳定公开 URL，以人工补录为主。
NJ_REG_ENTRY_2023,南京,registry_entry,南京市各区备案托育机构公示地址,official,https://wjw.nanjing.gov.cn/njswshjhsywyh/202303/t20230303_3842502.html,nursery_registry_raw,district followdown titles,html_parse,citywide_entry,confirmed_entry_only,,district,1,2023-03-03,2026-04-18,已成功落地入口页，但需人工继续下钻到区级真公示页。
NJ_REG_ENTRY_2023_栖霞区_GOV,南京,registry_notice,栖霞区已登记备案托育机构公示,official,栖霞区 -> 栖霞区已登记备案托育机构公示,nursery_registry_raw,institution name;address;phone;capacity;registry status,manual_browser_capture,district_notice,probe_pending,NJ_REG_ENTRY_2023,institution,1,,,由 NJ_REG_ENTRY_2023 probe 生成；site_hint=南京市栖霞区人民政府网站
NJ_REG_ENTRY_2023_江宁区_GOV,南京,registry_notice,江宁区已审批备案托育机构公示,official,https://www.jiangning.gov.cn/jnqrmzf/202405/t20240515_4666588.html,nursery_registry_raw,institution name;address;phone;capacity;registry status,html_parse,district_notice,confirmed_direct,NJ_REG_ENTRY_2023,institution,1,,,由 NJ_REG_ENTRY_2023 probe 生成；site_hint=南京市江宁区人民政府网站
NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,南京,registry_attachment_table,江宁区人民政府 附件解析,official,https://www.jiangning.gov.cn/jnqrmzf/202405/P020240515353374429442.docx,nursery_registry_raw,institution name;address;phone;capacity;registry status;institution type,normalized_attachment,attachment_table,confirmed_direct,NJ_REG_ENTRY_2023_江宁区_GOV,institution,1,,,attachment_sha1=f49a94b32ccaf293b6e63273b9a8df367c15e595; extracted_from=NJ_REG_ENTRY_2023_江宁区_GOV
NJ_REG_ENTRY_2023_浦口区_GOV,南京,registry_notice,南京市浦口区备案托育机构公示,official,https://www.pukou.gov.cn/pkqrmzf/202309/t20230915_4012368.html,nursery_registry_raw,institution name;address;phone;capacity;registry status,html_parse,district_notice,confirmed_direct,NJ_REG_ENTRY_2023,institution,1,,,由 NJ_REG_ENTRY_2023 probe 生成；site_hint=南京市浦口区人民政府网站
NJ_REG_ENTRY_2023_溧水区_GOV,南京,registry_notice,溧水区已备案托育机构名单公示,official,溧水区 -> 溧水区已备案托育机构名单公示,nursery_registry_raw,institution name;address;phone;capacity;registry status,manual_browser_capture,district_notice,probe_pending,NJ_REG_ENTRY_2023,institution,1,,,由 NJ_REG_ENTRY_2023 probe 生成；site_hint=南京市溧水区人民政府 网站
NJ_REG_ENTRY_2023_玄武区_GOV,南京,registry_notice,玄武区已审批备案托育机构公示,official,玄武区 -> 玄武区已审批备案托育机构公示,nursery_registry_raw,institution name;address;phone;capacity;registry status,manual_browser_capture,district_notice,probe_pending,NJ_REG_ENTRY_2023,institution,1,,,由 NJ_REG_ENTRY_2023 probe 生成；site_hint=南京市玄武区人民政府 网站
NJ_REG_ENTRY_2023_秦淮区_GOV,南京,registry_notice,秦淮区0-3岁备案托育机构公示,official,https://www.njqh.gov.cn/qhqrmzf/202507/t20250711_5605267.html,nursery_registry_raw,institution name;address;phone;capacity;registry status,html_parse,district_notice,confirmed_direct,NJ_REG_ENTRY_2023,institution,1,,,由 NJ_REG_ENTRY_2023 probe 生成；site_hint=南京市秦淮区人民政府 网站
NJ_REG_ENTRY_2023_雨花台区_GOV,南京,registry_notice,南京市雨花台区备案托育机构公示,official,雨花台区 -> 南京市雨花台区备案托育机构公示,nursery_registry_raw,institution name;address;phone;capacity;registry status,manual_browser_capture,district_notice,probe_pending,NJ_REG_ENTRY_2023,institution,1,,,由 NJ_REG_ENTRY_2023 probe 生成；site_hint=南京市雨花台区人民政府网站
